"Date" "Hydraulic" "Pumping_Turbine" "Nuclear" "Coal" "Combined_cycle" "Wind" "Solar_Photovoltaic" "Solar_Thermal" "Other_Renewables" "Cogeneration" "Electricity" "Consumption" "Gas_Price" "CO2_Price" "Balance_France" "Balance_Portugal" "Balance_Morocco"
"126" "06/2020" 2266.422758 152.410343 3621.381286 361.459592 4006.528209 3343.977027 1797.697293 711.646848 380.007994 2189.672425 30.99 25646.233 6.51765191110528 23.33 -786030.71 504304.35 20876.01
"127" "07/2020" 1838.035028 167.16095 5159.005855 301.768792 6317.818803 4249.55412 1903.210827 796.172042 349.559701 2304.163451 35.2 29645.81 6.46276044119687 27.45 -329502.21 748043.86 33189.19
"128" "08/2020" 1889.516844 158.85513 5151.917422 337.165744 5529.268472 3675.59961 1817.83495 744.541661 368.818257 2194.300447 36.75 28020.532 9.39322634565782 26.76 -55383.84 195679.98 80285.29
"129" "09/2020" 1671.696369 187.667328 4871.209402 351.029938 4978.688966 4055.166308 1460.463968 452.159233 396.083081 2310.15876 42.74 27078.164 11.4252051934341 27.81 750843.64 -156018.91 5467.69
"130" "10/2020" 1905.809841 233.257852 4530.276466 304.480328 3185.044239 5772.60519 1314.953592 340.274709 415.369636 2354.012257 37.46 26421.96 13.4391775125233 25.15 81895.17 -211173.28 15921.46
"131" "11/2020" 2463.313607 206.002588 4639.700503 354.868701 3698.51459 4210.15428 813.707438 108.048269 394.574464 2392.802075 42.91 27444.333 14.4086764288764 26.56 -416682.48 -694389.52 15240.88
"132" "12/2020" 3192.283894 320.955577 5270.53221 300.065011 3038.617595 7440.365855 742.998879 76.225913 422.895433 2356.443098 43.47 28633.159 18.198549374978 30.92 592411.15 100821.03 82699.22
"133" "01/2021" 4057.346783 320.531389 5199.740516 557.975979 2729.183017 7101.249123 848.403074 102.634029 390.590396 2405.236806 63.6 30829.306 28.6917722996756 33.43 -473306.04 288951.56 -55884.87
"134" "02/2021" 4517.602492 401.293219 4358.515107 176.266719 1544.065785 6294.982856 973.686902 138.181327 365.191889 1838.16573 29.86 28758.129 16.8527178521273 37.89 990142.29 -855208.59 8647.88
"135" "03/2021" 3715.416012 330.794555 4833.065002 242.138946 2151.091661 5606.818805 1688.757265 355.015427 359.459071 2253.823616 46.39 28064.032 17.515682188256 40.87 -159608.82 -6216.67000000004 -37129.9
"136" "04/2021" 2745.019022 153.67968 4197.33293 270.100026 3384.471579 4095.800569 1665.571492 266.787519 392.274795 2193.285205 66.2 26320.765 21.1384890713214 45.22 -406201.65 184684.03 -38093.79
"137" "05/2021" 2159.483245 238.708927 4373.250552 331.931113 2444.871606 4785.695033 2388.831852 645.597457 390.931927 2206.328862 67.95 25946.677 25.0044097991583 51.99 -1032357.41 831776.87 -58865.27
